280, chemville, Lab1, Experiment
282, chemville, Lab1, Theory
284, chemville, Lab2, Experiment
286, chemville, Lab2, Theory
216, chemville, Lab3, Experiment
218, chemville, Lab3, Theory
214, chemville, Classroom, room
212, chemville, Dorm1, A
210, chemville, Dorm1, B
208, chemville, Dorm1, C
206, chemville, Dorm1, D
166, chemville, Dorm2, A
168, chemville, Dorm2, B
170, chemville, Dorm2, C
290, chemville, Dorm3, A
292, chemville, Dorm3, B
296, chemville, Dorm3, C
258, chemville, Dorm4, A
256, chemville, Dorm4, B
254, chemville, Dorm4, C
298, chemville, Office1, A
111, chemville, Office1, B
288, chemville, Office2, A
176, chemville, Office2, B
172, chemville, Office3, A
174, chemville, Office3, B
164, chemville, Cafeteria, cafe
